scenario,repetition,experiment_id,total_energy_wh,mean_power_w,max_power_w,mean_efficiency_pct,capacity_factor,performance_ratio,iot_latency_ms,iot_packet_loss_pct,iot_delivery_rate_pct,iot_fault_detection_rate,traditional_data_availability_pct,traditional_energy_error_pct,traditional_fault_detection_rate,traditional_response_time_s,power_error_improvement_pct,energy_error_improvement_pct
normal_clear_sky,0,1,2566.949261507291,106.95621922947046,336.212226478444,22.285533897171334,0.2673905480736762,2.128666045909361,50.431208890279215,1.7361111111111112,98.26388888888889,100.0,8.333333333333332,0.04743406558899679,0.0,3600,98.84835664216686,99.99999836753108
normal_clear_sky,1,1,2568.856387710214,107.03568282125892,337.87228695927564,28.208790161363837,0.2675892070531473,3.2686742356519756,51.670629881977945,4.861111111111112,95.13888888888889,100.0,8.333333333333332,0.14296481670452757,0.0,3600,98.82552847400905,99.99999811488011
normal_clear_sky,2,1,2562.4341185803514,106.76808827418131,333.48899311910014,31.51062453102887,0.2669202206854533,3.77537871394051,50.592351154311146,3.125,96.875,100.0,8.333333333333332,0.561801188836832,0.0,3600,98.83648549994814,99.9999988820356
low_irradiance,0,2,850.303875459537,35.42932814414738,147.79960194229335,23.956815247307034,0.08857332036036844,2.3142814221413284,50.431208890279215,1.7361111111111112,98.26388888888889,100.0,8.333333333333332,10.248601460810862,0.0,3600,96.82990240095178,99.9999848315409
low_irradiance,1,2,847.5771012338521,35.315712551410506,142.65051101621344,30.305563789646353,0.08828928137852626,3.5077145854752185,51.670629881977945,4.861111111111112,95.13888888888889,100.0,8.333333333333332,1.2339560268728325,0.0,3600,96.43183575901475,99.99998250157806
low_irradiance,2,2,852.132814639602,35.50553394331675,137.19671782678654,30.419541520005957,0.08876383485829187,3.536914597396555,50.592351154311146,3.125,96.875,100.0,8.333333333333332,3.193521173904062,0.0,3600,96.35370342117923,99.99998970959011
high_temperature,0,3,2380.932557568717,99.20552323202989,309.1788017503534,21.59358887777581,0.24801380808007473,2.09748500714606,50.431208890279215,1.7361111111111112,98.26388888888889,100.0,8.333333333333332,0.09337577464070088,6.493506493506493,3600,98.75848846287967,99.99999810181183
high_temperature,1,3,2382.84006311531,99.28500262980455,310.53956366085066,27.47075154484487,0.24821250657451138,3.2294493410758114,51.670629881977945,4.861111111111112,95.13888888888889,100.0,8.333333333333332,0.20318572616831845,6.41025641025641,3600,98.73348669941797,99.99999780813997
high_temperature,2,3,2376.418806668428,99.01745027785117,306.0824621527801,30.678491975519268,0.24754362569462793,3.721731504917694,50.592351154311146,3.125,96.875,100.0,8.333333333333332,0.6423206328599874,7.894736842105263,3600,98.74609042121564,99.99999869963474
cloud_variation,0,4,1631.7581483874174,67.98992284947573,251.04299574842508,24.47776313087068,0.16997480712368934,2.471689162928003,50.431208890279215,1.7361111111111112,98.26388888888889,100.0,8.333333333333332,6.546499099556256,0.0,3600,98.05665958381317,99.99999594542383
cloud_variation,1,4,1630.039199669183,67.91829998621597,248.9608084197497,29.044529058256664,0.16979574996553992,3.388240716607351,51.670629881977945,4.861111111111112,95.13888888888889,100.0,8.333333333333332,2.58684852994653,0.0,3600,98.18434741829107,99.9999953041798
cloud_variation,2,4,1597.7168376079098,66.57153490032958,237.26714474059636,30.539479571577267,0.16642883725082394,3.6075002084289056,50.592351154311146,3.125,96.875,100.0,8.333333333333332,2.2326366301008433,0.0,3600,98.07804755092735,99.99999711142206
